0.000000000000000000e+00	-1.299840498405391417e-03	6.115525507239295833e-03	-6.885166792119712387e-02	5.572939482193715044e-01	1.000000000000000000e+00
1.250000000000000000e-01	2.353592831064085496e-04	-1.295718309445689082e-03	-2.512987437947761943e-02	7.263989492995398534e-01	3.647250104953560501e-01
2.500000000000000000e-01	-1.100284375259586844e-04	7.055294466606166831e-04	3.783537957623527362e-03	6.806475948069347082e-01	-5.547319817240287110e-02
3.750000000000000000e-01	6.476729038759203609e-05	-4.811927317727186164e-04	-1.584552170259355582e-03	7.076373588258106917e-01	2.260853824595872308e-02
5.000000000000000000e-01	-4.228484784197130943e-05	3.644047410836878274e-04	8.734658114804248752e-04	6.882940285759424626e-01	-1.317712174215559390e-02
6.250000000000000000e-01	2.914565597820112001e-05	-2.931517361114626503e-04	-5.528628637999008499e-04	7.031807244529292289e-01	7.620735432202782253e-03
7.500000000000000000e-01	-2.069708407407358180e-05	2.453836162650015998e-04	3.783771656522176910e-04	6.908714375229311200e-01	-6.033934573125044297e-03
8.750000000000000000e-01	1.499986380228105817e-05	-2.116941472401419094e-04	-2.075531288228411712e-04	7.011399874279172773e-01	3.650169705465410464e-03
1.000000000000000000e+00	-1.142712499639969777e-05	2.007012755442959728e-04	4.426376002392275817e-04	6.921059614269021720e-01	-3.572642530160272025e-03
1.125000000000000000e+00	1.526567468809241965e-05	-1.164024781534936479e-04	1.227150014266654196e-04	6.999316839900736609e-01	2.010172902154148868e-03
1.250000000000000000e+00	4.888725188009633078e-05	2.271195402863725448e-04	5.200935375899634399e-04	6.927858220084823770e-01	-2.445325998645327820e-03
1.375000000000000000e+00	1.273385762408300425e-04	-4.435981743469778784e-06	4.306465493404371494e-04	6.991046502787890971e-01	1.192275067722244715e-03
1.500000000000000000e+00	2.128536225412621557e-04	3.198297584216530523e-04	8.122211319236510548e-04	6.931890613617124330e-01	-1.831335557958446714e-03
1.625000000000000000e+00	3.029776852974822910e-04	1.704201698501160798e-04	8.263477797211285459e-04	6.984852742757756694e-01	7.401845555500156720e-04
1.750000000000000000e+00	4.057380081242434084e-04	4.977271153861638400e-04	1.143527961758697723e-03	6.934393991818440517e-01	-1.469986203873740105e-03
1.875000000000000000e+00	4.805861642209774973e-04	4.166005396703619358e-04	1.266406281490974062e-03	6.979881102385878666e-01	4.321530600657184115e-04
2.000000000000000000e+00	5.790198558051119510e-04	7.703609093518574763e-04	1.588006957362283512e-03	6.935855576692224744e-01	-1.229064394586458541e-03
2.125000000000000000e+00	6.495236017628116133e-04	7.584689968607983244e-04	1.635012261727795827e-03	6.975724283670395875e-01	2.333041441321664488e-04
2.250000000000000000e+00	7.370000827200984825e-04	1.122348737121057994e-03	2.042408571656931324e-03	6.936644634643134300e-01	-1.055296652071591656e-03
2.375000000000000000e+00	8.223131158709950624e-04	1.198161697266004804e-03	2.257069216664476293e-03	6.972155164840626584e-01	1.077330454357682866e-04
2.500000000000000000e+00	9.483871318893983540e-04	1.608253894712301452e-03	2.572824488509328072e-03	6.937008998578430008e-01	-9.537050588300676661e-04
